Character,#,Text,Char ID,Skill ID,Name,Skill Type,Cost,Target,Damage Type,Damage,Inflict,Accuracy,Effect,Self
Patchouli,5,"Silent Selene  
[MAG] Cost 15 SP
One Enemy : [Mystic 30]  ",124,1248,"Silent Selene  ",MAG,15 SP,One Enemy,Mystic,30,,,,
Eirin,1,"Mercury Sea 
[MAG] Cost 5 SP
All Enemies : [Astral 2] [-3 ATK]
This Skill has -1 ACC.    ",125,1254,"Mercury Sea ",MAG,5 SP,All Enemies,Astral,2,,,,
Eirin,2,"Omoikane's Device
[MAG] Cost 5 SP
All Enemies : [Mystic 2] [-3 MAG]
This Skill has -1 ACC.  ",125,1255,"Omoikane's Device",MAG,5 SP,All Enemies,Mystic,2,,,,
Eirin,3,"Hourai Elixir
[SUP] Cost 8 SP
One Ally : [+5 HP] [Cure 0] Recover 10 HP. ",125,1256,"Hourai Elixir",SUP,8 SP,One Ally,,,,,,
Eirin,4,"Astronomical Entombing  
[MAG] Cost 8 SP
All Enemies : [Dark 4] [Heavy 3] 
This Skill has -1 ACC.",125,1257,"Astronomical Entombing  ",MAG,8 SP,All Enemies,Dark,4,,,,
Iku,1,"Elekiter Dragon Palace
[MAG] Cost 4 SP
One Enemy : [Electric 3] [-2 DEF] {60% Paralysis 2} ",126,1264,"Elekiter Dragon Palace",MAG,4 SP,One Enemy,Electric,3,,,,
Iku,2,"Light Dragon's Sigh
[MAG] Cost 5 SP
All Enemies : [Wind 3] [-2 DEF]
This Skill has -1 ACC.",126,1265,"Light Dragon's Sigh",MAG,5 SP,All Enemies,Wind,3,,,,
Iku,3,"Thundercloud Stickleback
[SUP] Cost 4 SP
One Ally : [+3 ATK,MAG] [Paralysis 2]",126,1266,"Thundercloud Stickleback",SUP,4 SP,One Ally,,,,,,
Iku,4,"Whiskers of the Dragon God
[SUP] Cost 3 SP
One Ally : [+4 SPD] [-1 DEF,RES]  ",126,1267,"Whiskers of the Dragon God",SUP,3 SP,One Ally,,,,,,
Reisen,1,"Lunatic Red Eyes
[MAG] Cost 4 SP
All Enemies : [Astral 1] [-3 RES] {50% Terror 2, Disable 2} 
This Skill has -1 ACC. ",127,1274,"Lunatic Red Eyes",MAG,4 SP,All Enemies,Astral,1,,,,
Reisen,2,"Mind Starmine
[MAG] Cost 6 SP
All Enemies : [Mystic 4] {40% Shock 2}
This Skill has -1 ACC.  ",127,1275,"Mind Starmine",MAG,6 SP,All Enemies,Mystic,4,,,,
Reisen,3,"Discarder
[MAG] Cost 4 SP
One Enemy : [Dark 4] [-1 ATK,MAG,DEF,RES,SPD,EVA]  ",127,1276,"Discarder",MAG,4 SP,One Enemy,Dark,4,,,,
Reisen,4,"Gas-Woven Orb
[MAG] Cost 1 SP
All Enemies : [Nature 0] {20% Poison 3} 
This Skill has -1 ACC.  ",127,1277,"Gas-Woven Orb",MAG,1 SP,All Enemies,Nature,0,,,,
Reisen,5,"Grand Patriot's Elixir  
[SUP] Cost 5 SP
Self : [+2 ATK,MAG,DEF,RES,SPD,EVA] ",127,1278,"Grand Patriot's Elixir  ",SUP,5 SP,Self,,,,,,
Aphelios,1,"Moonshot
[ATK] Cost 4 SP
One Enemy : [Astral 4]
This Skill can only be used if Aphelios has [Calibrum].",128,1284,"Moonshot",ATK,4 SP,One Enemy,Astral,4,,,,
Aphelios,2,"Onslaught
[ATK] Cost 4 SP
One Enemy : [Astral 2]
This Skill has Adept 1.
This Skill can only be used if Aphelios has [Severum].",128,1285,"Onslaught",ATK,4 SP,One Enemy,Astral,2,,,,
Aphelios,3,"Binding Eclipse
[MAG] Cost 4 SP
One Enemy : [Astral 2] [Heavy 2]  
This Skill can only be used if Aphelios has [Gravitum]. ",128,1286,"Binding Eclipse",MAG,4 SP,One Enemy,Astral,2,,,,
Aphelios,4,"Duskwave
[ATK] Cost 4 SP 
All Enemies : [Astral 2]
This Skill has -1 ACC.
This Skill can only be used if Aphelios has [Infernum].",128,1287,"Duskwave",ATK,4 SP,All Enemies,Astral,2,,,,
Aphelios,5,"Sentry   
[ATK] Cost 4 SP
One Enemy : [Astral 3]
Self : Gain [Sentry].
If Aphelios has [Sentry] this Skill costs 2 SP.
This Skill can only be used if Aphelios has [Crescendum].",128,1288,"Sentry   ",ATK,4 SP,One Enemy,Astral,3,,,,
Steeve,1,"Bite
[ATK] Cost 2 SP
One Enemy : [Pierce 3]  ",129,1294,"Bite",ATK,2 SP,One Enemy,Pierce,3,,,,
Steeve,2,"Crippling Slash
[ATK] Cost 3 SP
One Enemy : [Blade 3] [Stuck 2]",129,1295,"Crippling Slash",ATK,3 SP,One Enemy,Blade,3,,,,
Steeve,3,"Guard
[SUP] Cost 3 SP
Self : [+2 DEF] [Taunt 1]",129,1296,"Guard",SUP,3 SP,Self,,,,,,
Ditto,1,"Transform
[SUP] Cost 1 SP
Transform Ditto into a character in Front.
Recover max HP and SP.",130,1304,Transform,SUP,1 SP,#N/A,,,,,,
Ran,1,"Fox-Tanuki Youkai Laser
[MAG] Cost 6 SP
All Enemies : [Mystic 5]
This Skill has -1 ACC.  ",131,1314,"Fox-Tanuki Youkai Laser",MAG,6 SP,All Enemies,Mystic,5,,,,
Ran,2,"Soaring En no Ozuno
[ATK] Cost 6 SP
All Enemies : [Impact 5]
This Skill has -1 ACC. ",131,1315,"Soaring En no Ozuno",ATK,6 SP,All Enemies,Impact,5,,,,
Ran,3,"Banquet of General Gods
[SUP] Cost 12 SP
Every Ally : [+2 ATK,MAG]  ",131,1316,"Banquet of General Gods",SUP,12 SP,Every Ally,,,,,,
Ran,4,"Eighty Million Holy Boards	  
[SUP] Cost 12 SP
Every Ally : [+2 DEF,RES] ",131,1317,"Eighty Million Holy Boards	  ",SUP,12 SP,Every Ally,,,,,,
Suika,1,"Throwing Atlas
[ATK] Cost 4 SP
One Enemy : [Wind 7]
Self : [-1 SPD,EVA]  ",132,1324,"Throwing Atlas",ATK,4 SP,One Enemy,Wind,7,,,,
Suika,2,"Gathering and Dissipating
[MAG] Cost 3 SP
Two Enemies : [Wind 1] {80% -3 ATK,MAG}  ",132,1325,"Gathering and Dissipating",MAG,3 SP,Two Enemies,Wind,1,,,,
Suika,3,"Missing Power
[SUP] Cost 6 SP
Self : [+5 ATK] [+2 DEF,RES] [-3 SPD,EVA]",132,1326,"Missing Power",SUP,6 SP,Self,,,,,,
Suika,4,"Art of Segaki Binding
[ATK] Cost 3 SP
One Enemy : [Dark 1] [Heavy 2, Terror 2]",132,1327,"Art of Segaki Binding",ATK,3 SP,One Enemy,Dark,1,,,,
Suwako (BM),1,"Iron Rings
[ATK] Cost 3 SP
One Enemy : [Blade 3]
This Skill has +2 ACC.",133,1334,"Iron Rings",ATK,3 SP,One Enemy,Blade,3,,,,
Suwako (BM),2,"Curse
[SUP] Cost 3 SP
One Enemy : [Curse 2]",133,1335,"Curse",SUP,3 SP,One Enemy,,,,,,
Suwako (BM),3,"Geyser
[MAG] Cost 5 SP
One Enemy : [Water 5] {10% Burn 3}
This Skill has +4 ACC.",133,1336,"Geyser",MAG,5 SP,One Enemy,Water,5,,,,
Suwako (BM),4,"Rock Fling
[MAG] Cost 5 SP
One Enemy : [Impact 5]  
This Skill has +2 ACC.
This Skill's damage is reduced by the opposite defensive stat.",133,1337,"Rock Fling",MAG,5 SP,One Enemy,Impact,5,,,,
Suwako (BM),5,"Scourged Earth
[MAG] Cost 7 SP
All Enemies : [Dark 3] [Curse 2]
This Skill has +1 ACC.",133,1338,"Scourged Earth",MAG,7 SP,All Enemies,Dark,3,,,,
Cho'Gath,1,"Rupture
[MAG] Cost 4 SP
All Enemies : [Void 2] [Weaken 2]
This Skill has -3 ACC. ",134,1344,"Rupture",MAG,4 SP,All Enemies,Void,2,,,,
Cho'Gath,2,"Feral Scream
[MAG] Cost 5 SP
Two Enemies : [Dark 4] [Silence 2]   ",134,1345,"Feral Scream",MAG,5 SP,Two Enemies,Dark,4,,,,
Cho'Gath,3,"Vorpal Spikes
[MAG] Cost 3 SP
One Enemy : [Pierce 4] 
This Skill has +2 ACC.",134,1346,"Vorpal Spikes",MAG,3 SP,One Enemy,Pierce,4,,,,
Cho'Gath,4,"Feast
[MAG] Cost 6 SP
One Enemy : [Void 4]
This Skill has Break.
If this Skill KOs target, gain [+2 Feast].",134,1347,"Feast",MAG,6 SP,One Enemy,Void,4,,,,
Remilia,1,"Spear the Gungnir
[ATK] Cost 4 SP
One Enemy : [Pierce 4]
This Skill has Scope and Break 2.",135,1354,"Spear the Gungnir",ATK,4 SP,One Enemy,Pierce,4,,,,
Remilia,2,"Curse of Vlad Tepes
[SUP] Cost 3 SP
One Ally : [+3 ATK,DEF,RES] [Poison 4, Heavy 2]",135,1355,"Curse of Vlad Tepes",SUP,3 SP,One Ally,,,,,,
Sakuya,1,"Misdirection
[ATK] Cost 3 SP
All Enemies : [Blade 1]
This Skill has +1 ACC.",136,1364,"Misdirection",ATK,3 SP,All Enemies,Blade,1,,,,
Sakuya,2,"Killing Doll
[ATK] Cost 3 SP
One Enemy : [Dark 2]
This Skill has +4 ACC. ",136,1365,"Killing Doll",ATK,3 SP,One Enemy,Dark,2,,,,
Sakuya,3,"Soul Sculpture
[ATK] Cost 5 SP
All Enemies : [Wind 1]
This Skill has Precision. ",136,1366,"Soul Sculpture",ATK,5 SP,All Enemies,Wind,1,,,,
Sakuya,4,"Lunar Clock
[SUP] Cost 5 SP
All Allies : [+3 SPD]",136,1367,"Lunar Clock",SUP,5 SP,All Allies,,,,,,
Sakuya,5,"Private Square
[SUP] Cost 8 SP
All Enemies : [Shock 2]",136,1368,"Private Square",SUP,8 SP,All Enemies,,,,,,
Flandre,1,"Starbow Break
[ATK] Cost 6 SP
One Enemy : [Dark 18]
Self : Lose 6 HP. This can KO.  ",137,1374,"Starbow Break",ATK,6 SP,One Enemy,Dark,18,,,,
Flandre,2,"Forbidden Fruit
[MAG] Cost 7 SP
All Enemies : [Mystic 6]
All Allies : Lose 1 SP.
This Skill has +1 ACC.  ",137,1375,"Forbidden Fruit",MAG,7 SP,All Enemies,Mystic,6,,,,
Flandre,3,"Laveatein
[ATK] Cost 12 SP
All Enemies : [Fire 18]
All Allies : Lose 4 HP. This can KO.
This Skill has -3 ACC.",137,1376,"Laveatein",ATK,12 SP,All Enemies,Fire,18,,,,
Suwako,1,"Moriya's Iron Ring
[ATK] Cost 2 SP
One Enemy : [Blade 4]",138,1384,"Moriya's Iron Ring",ATK,2 SP,One Enemy,Blade,4,,,,
Suwako,2,"Long-Arm and Long-Leg
[ATK] Cost 6 SP
One Enemy : [Nature 8]",138,1385,"Long-Arm and Long-Leg",ATK,6 SP,One Enemy,Nature,8,,,,
Suwako,3,"Froggy Braves the Elements
[MAG] Cost 5 SP
All Enemies : [Cold 3] [-2 RES]
This Skill has -1 ACC. ",138,1386,"Froggy Braves the Elements",MAG,5 SP,All Enemies,Cold,3,,,,
Suwako,4,"Mishaguji-sama
[MAG] Cost 6 SP
All Enemies : [Nature 4] [-2 DEF] 
This Skill's damage is reduced by the opposite defensive stat.
This Skill has -1 ACC.",138,1387,"Mishaguji-sama",MAG,6 SP,All Enemies,Nature,4,,,,
Galdred,1,"Withering Toxin
[ATK] Cost 3 SP
One Enemy : [Dark 0] [Poison 3,Terror 3] ",139,1394,"Withering Toxin",ATK,3 SP,One Enemy,Dark,0,,,,
Galdred,2,"Eviscerate
[ATK] Cost 3 SP
One Enemy : [Pierce 5]",139,1395,"Eviscerate",ATK,3 SP,One Enemy,Pierce,5,,,,
Galdred,3,"Explosive Cocktail
[ATK] Cost 3 SP
One Enemy : [Impact 2] [-2 DEF,RES,SPD,EVA]",139,1396,"Explosive Cocktail",ATK,3 SP,One Enemy,Impact,2,,,,
Kanako,1,"Mad Dance on Medoteko
[MAG] Cost 3 SP
One Enemy : [Spirit 4] [Heavy 1]  
This Skill's damage is reduced by the opposite defensive stat.",140,1404,"Mad Dance on Medoteko",MAG,3 SP,One Enemy,Spirit,4,,,,
Kanako,2,"Misayama Hunting Ritual
[MAG] Cost 5 SP
All Enemies : [Blade 3]
This Skill has +1 ACC.
This Skill's damage is reduced by the opposite defensive stat.   ",140,1405,"Misayama Hunting Ritual",MAG,5 SP,All Enemies,Blade,3,,,,
Kanako,3,"Beautiful Spring like Suiga
[MAG] Cost 6 SP
One Enemy : [Cold 7] [-1 ATK,MAG] ",140,1406,"Beautiful Spring like Suiga",MAG,6 SP,One Enemy,Cold,7,,,,
Kanako,4,"Virtue of Wind God
[MAG] Cost 8 SP
All Enemies : [Wind 7]
This Skill has -1 ACC.",140,1407,"Virtue of Wind God",MAG,8 SP,All Enemies,Wind,7,,,,
Tenshi,1,"World Creation Press
[ATK] Cost 2 SP
One Enemy : [Nature 1] [-3 ATK]",141,1414,"World Creation Press",ATK,2 SP,One Enemy,Nature,1,,,,
Tenshi,2,"Violent Motherland
[ATK] Cost 5 SP
All Enemies : [Nature 2] [-2 MAG,SPD]
This Skill has -1 ACC.",141,1415,"Violent Motherland",ATK,5 SP,All Enemies,Nature,2,,,,
Tenshi,3,"Sword of Hisou
[ATK] Cost 4 SP
One Enemy : [Spirit 3] {20% Curse 3}
This Skill has Precision.",141,1416,"Sword of Hisou",ATK,4 SP,One Enemy,Spirit,3,,,,
Tenshi,4,"State of Enlightenment
[SUP] Cost 5 SP
Self : [+4 DEF,RES] [Heavy 3, Stuck 3] ",141,1417,"State of Enlightenment",SUP,5 SP,Self,,,,,,
The Beast Within,1,"Blood Frenzy
[ATK] Cost 10 SP
One Enemy : [Pierce 8]
If this Skill KOs the target, use it again at no cost. ",142,1424,"Blood Frenzy",ATK,10 SP,One Enemy,Pierce,8,,,,
The Beast Within,2,"Hydra Helix 
[ATK] Cost 7 SP
All Enemies : [Pierce 6]
This Skill has -1 ACC.",142,1425,Hydra Helix ,ATK,7 SP,All Enemies,Pierce,6,,,,
Yukari,1,"Mesh of Light and Darkness
[MAG] Cost 5 SP
All Enemies : [Spirit 2] [-2 ACC] [Reveal 2]
This Skill has -1 ACC.  ",143,1434,"Mesh of Light and Darkness",MAG,5 SP,All Enemies,Spirit,2,,,,
Yukari,2,"Hyperactive Flying Object
[MAG] Cost 5 SP
Two Enemies : [Wind 4]
This Skill has Break 2.  ",143,1435,"Hyperactive Flying Object",MAG,5 SP,Two Enemies,Wind,4,,,,
Yukari,3,"Shikigami ""Ran Yakumo +""
[MAG] Cost 5 SP
One Enemy : [Impact 5]
This Skill deals +2 damage if Ran is in front.
This Skill deals +2 damage if Chen is in front.  
This Skill's damage is reduced by the opposite defensive stat. ",143,1436,"Shikigami ""Ran Yakumo +""",MAG,5 SP,One Enemy,Impact,5,,,,
Yukari,4,"Yukari's Spiriting Away
[SUP] Cost 20 SP
End the current Round.",143,1437,"Yukari's Spiriting Away",SUP,20 SP,#N/A,,,,,,
Yukari,5,"IN Quadruple Barrier
[SUP] Cost 5 SP
All Allies : [+3 DEF] or [+3 RES]  ",143,1438,"IN Quadruple Barrier",SUP,5 SP,All Allies,,,,,,
Yuuka,1,"Flower Shot
[MAG] Cost 3 SP
One Enemy : [Nature 4]
This Skill has +2 ACC. ",144,1444,"Flower Shot",MAG,3 SP,One Enemy,Nature,4,,,,
Yuuka,2,"Gensokyo's Reflowering
[MAG] Cost 5 SP
All Enemies : [Nature 3]
All Allies : Recover 3 HP.
This Skill has -1 ACC.  ",144,1445,Gensokyo's Reflowering,MAG,5 SP,All Enemies,Nature,3,,,,
Yuuka,3,"Beauty of Nature
[MAG] Cost 5 SP
All Enemies : [Nature 3]
Increase Negative Status Effects on All Enemies by 2.
This Skill has -1 ACC.",144,1446,Beauty of Nature,MAG,5 SP,All Enemies,Nature,3,,,,
Yuyuko,1,"Ghostly Dream's Butterfly
[MAG] Cost 5 SP
One Enemy : [Sprirt 2] [-2 SPD,EVA] {50% Death 1}  ",145,1454,"Ghostly Dream's Butterfly",MAG,5 SP,One Enemy,Sprirt,2,,,,
Yuyuko,2,"Deadly Swallowtail Lance
[MAG] Cost 4 SP
Two Enemies : [Dark 2] {30% Death 1}
This Skill has Break 1.   ",145,1455,"Deadly Swallowtail Lance",MAG,4 SP,Two Enemies,Dark,2,,,,
Yuyuko,3,"Ghastly Dream
[MAG] Cost 7 SP
All Enemies : [Spirit 4] [-1 SPD,EVA] [Death 3]
This Skill has -1 ACC. ",145,1456,"Ghastly Dream",MAG,7 SP,All Enemies,Spirit,4,,,,
Yuyuko,4,"Saigyouji Flawless Nirvana
[MAG] Cost 10 SP
All Enemies : [Dark 3] [Death 1]
This Skill has -3 ACC.",145,1457,"Saigyouji Flawless Nirvana",MAG,10 SP,All Enemies,Dark,3,,,,
Clint,1,"Copy
[SUP] Cost 0 SP
One Target : Target's Name = Y 
Self : Gain [3 Y].",146,1464,"Copy",SUP,0 SP,One Target,,,,,,
Clint,2,"Paste
[SUP] Cost [1 Name]
Use one of that character's Skills.
Pay the appropriate costs.",146,1465,"Paste",SUP,[1 Name],#N/A,,,,,,
Mark,1,"Dagger
[ATK] Cost 2 SP
One Enemy : [Blade 2]
This Skill has +4 ACC.",147,1474,"Dagger",ATK,2 SP,One Enemy,Blade,2,,,,
Mark,2,"Pure Crystalight
[SUP] Cost 2 SP
One Target : [+3 ACC] or [Reveal 2] ",147,1475,"Pure Crystalight",SUP,2 SP,One Target,,,,,,
Mark,3,"Shooting Star
[MAG] Cost 4 SP
One Enemy : [Fire 5]",147,1476,"Shooting Star",MAG,4 SP,One Enemy,Fire,5,,,,
Mark,4,"Mossy Song
[SUP] Cost 5 SP
One Other Ally : [Terror 2]
All Enemies : [-3 ATK] or [-3 MAG]",147,1477,"Mossy Song",SUP,5 SP,One Other Ally,,,,,,
Mikhail,1,"Encyclopedia
[SUP] Cost 5 SP
All Allies : Gain a +1 Stat Boost.",148,1484,"Encyclopedia",SUP,5 SP,All Allies,,,,,,
Mikhail,2,"The Tale of the Journey
[SUP] Cost 5 SP
Two Allies : [Cure 1]",148,1485,"The Tale of the Journey",SUP,5 SP,Two Allies,,,,,,
Mikhail,3,"Berth of the Dragon
[SUP] Cost 5 SP
All Allies : Recover 3 HP and SP.  ",148,1486,"Berth of the Dragon",SUP,5 SP,All Allies,,,,,,
Mikhail,4,"The Vast and Beautiful World
[SUP] Cost 5 SP
All Allies : [Distance 3]",148,1487,"The Vast and Beautiful World",SUP,5 SP,All Allies,,,,,,
Znaniya,1,"Greatsword
[SUP] Cost 5 SP
All Allies : [+3 ACC]",149,1494,"Greatsword",SUP,5 SP,All Allies,,,,,,
Znaniya,2,"The Tale of the Hero
[SUP] Cost 5 SP
One Ally: Revive KO'ed Ally with 1 HP and max SP.",149,1495,"The Tale of the Hero",SUP,5 SP,One Ally,,,,,,
Znaniya,3,"Fury of the Dragon
[ATK] Cost 5 SP
One Enemy : [Fire 5]
This Skill has Scope, Precision, Break, and cannot KO.",149,1496,"Fury of the Dragon",ATK,5 SP,One Enemy,Fire,5,,,,
Znaniya,4,"Swaying Strike
[SUP] Cost 5 SP
All Allies : [+2 EVA] [Crit 2]",149,1497,"Swaying Strike",SUP,5 SP,All Allies,,,,,,
Daruis,1,"Decimate
[ATK] Cost 5 SP
All Enemies : [Blade 3] {50% Bleed 1}
Self : Recover X HP. 
X = Targets inflicted with Bleed by this Skill.
This Skill has -1 ACC.  ",150,1504,"Decimate",ATK,5 SP,All Enemies,Blade,3,,,,
Daruis,2,"Crippling Strike
[ATK] Cost 2 SP
One Enemy : [Blade 3] [Bleed 2]",150,1505,"Crippling Strike",ATK,2 SP,One Enemy,Blade,3,,,,
Daruis,3,"Apprehend
[ATK] Cost 2 SP
One Enemy : [Blade 1] [Bleed 1, Heavy 3]",150,1506,"Apprehend",ATK,2 SP,One Enemy,Blade,1,,,,
Daruis,4,"Noxian Guillotine
[ATK] Cost 6 SP
One Enemy : [Blade 2 + X] 
This skill has Break, Scope and Precision.
If this Skill KO's, recover 6 SP. 
X = Target's [Bleed X]",150,1507,"Noxian Guillotine",ATK,6 SP,One Enemy,Bleed,X,,,,
Shion,1,"Id=Es
[MAG] Cost 5 SP
One Enemy : [Spirit 4]
Self : [Shield 3] ",151,1514,Id=Es,MAG,5 SP,One Enemy,Spirit,4,,,,
Shion,2,"Feral Ghost of Aveyron 
[ATK] Cost 6 SP
One Enemy : [Blade 5]
Self : [+2 SPD,EVA]  ",151,1515,Feral Ghost of Aveyron ,ATK,6 SP,One Enemy,Blade,5,,,,
Shion,3,"Fading Sense of Self
[MAG] Cost 4 SP
All Enemies : [Spirit 1] [-2 ACC]
This Skill has +1 ACC. ",151,1516,Fading Sense of Self,MAG,4 SP,All Enemies,Spirit,1,,,,
Shion,4,"Monochrome Wraith
[MAG] Cost 8 SP
All Enemies : [Mystic 5]
This Skill has Break and -1 ACC.",151,1517,Monochrome Wraith,MAG,8 SP,All Enemies,Mystic,5,,,,
Wakasagihime,1,"Tail Fin Slap
[SUP] Cost 2 SP
One Ally : Gain [Cure 0] and recover 2 HP.",152,1524,"Tail Fin Slap",SUP,2 SP,One Ally,,,,,,
Wakasagihime,2,"Great Raging Waves of the Reversed Scale
[SUP] Cost 7 SP
All Enemies : [Curse 1] ",152,1525,"Great Raging Waves of the Reversed Scale",SUP,7 SP,All Enemies,,,,,,
Wakasagihime,3,"Tidal Wave of the Lake
[ATK] Cost 4 SP
All Enemies : [Water 1] [Disable 2]
This Skill has +1 ACC. ",152,1526,"Tidal Wave of the Lake",ATK,4 SP,All Enemies,Water,1,,,,
Wakasagihime,4,"School of Fish
[SUP] Cost 5 SP
All Allies : [Taunt 2, Distance 1]",152,1527,"School of Fish",SUP,5 SP,All Allies,,,,,,
Shaggy,1,"Zoinks!
[SUP] Cost 2 SP
Self : [Distance 3] [Terror 4]   ",153,1534,Zoinks!,SUP,2 SP,Self,,,,,,
Shaggy,2,"In-fight Snack
[SUP] Cost 4 SP
Self : [Regenerate 3]
One Ally : [Regenerate 3]",153,1535,In-fight Snack,SUP,4 SP,Self,,,,,,
Shaggy,3,"Makeshift Trap
[SUP] Cost 4 SP
One Enemy : [Trap 6]",153,1536,Makeshift Trap,SUP,4 SP,One Enemy,,,,,,
Shaggy,4,"Would you do it for a Scooby Snack?   
[SUP] Cost 4 SP
Shaggy : Recover 12 SP.
Shaggy cannot use this Skill. 
All Other Allies can use this Skill.",153,1537,Would you do it for a Scooby Snack?   ,SUP,4 SP,Shaggy,,,,,,
Ultra Instinct Shaggy,1,"""Bad""
[SUP] Cost 2 SP
Self : [Bold 4]",154,1544,"""Bad""",SUP,2 SP,Self,,,,,,
Ultra Instinct Shaggy,2,"Masterful Hand-to-Hand Combat
[ATK] Cost 7 SP
One Enemy : [Impact 7] 
This Skill has +4 ACC. ",154,1545,Masterful Hand-to-Hand Combat,ATK,7 SP,One Enemy,Impact,7,,,,
Ultra Instinct Shaggy,3,"Facebreaker
[ATK] Cost 6 SP
Two Enemies : [Impact 6]",154,1546,Facebreaker,ATK,6 SP,Two Enemies,Impact,6,,,,
Ultra Instinct Shaggy,4,"Improvised Weapon
[ATK] Cost 10 SP
One Enemy : [Impact 12] ",154,1547,Improvised Weapon,ATK,10 SP,One Enemy,Impact,12,,,,
Paul Atreides,1,"Prana-Bindu
[SUP] Cost 5 SP
Self : [+5 EVA]
You may use another skill. ",155,1554,"Prana-Bindu",SUP,5 SP,Self,,,,,,
Paul Atreides,2,"Voice
[SUP] Cost 4 SP
One Enemy : [Weaken 1] or [Silence 1] or [Disable 1]  ",155,1555,"Voice",SUP,4 SP,One Enemy,,,,,,
Paul Atreides,3,"Balintawak Eskrima Fighting Style 
[ATK] Cost 8 SP
One Enemy : [Blade 2]
This Skill has +2 ACC and Adept 3.",155,1556,"Balintawak Eskrima Fighting Style ",ATK,8 SP,One Enemy,Blade,2,,,,
Yasuo,1,"Steel Tempest
[ATK] Cost 2 SP
One Enemy : [Blade 3]
This Skill has +2 ACC. 
If this Skill hits, you may spend 1 Flow to inflict [Mark 3].",156,1564,"Steel Tempest",ATK,2 SP,One Enemy,Blade,3,,,,
Yasuo,2,"Wind Wall
[SUP] Cost 4 SP
Enemy Slot X : [Weaken 1, Silence 1] 
X = Yasuo's Slot number.",156,1565,"Wind Wall",SUP,4 SP,Enemy Slot X,,,,,,
Yasuo,3,"Sweeping Blade
[SUP] Cost 1 SP
Swap places with an ally in Front.
You may use another skill.",156,1566,"Sweeping Blade",SUP,1 SP,#N/A,,,,,,
Yasuo,4,"Last Breath
[ATK] Cost 6 SP
All Enemies : [Blade 8]
This Skill only hits Marked Enemies.
This Skill has -1 ACC.",156,1567,"Last Breath",ATK,6 SP,All Enemies,Blade,8,,,,
Yone,1,"Mortal Steel
[X] Cost 2 SP
One Enemy : [Blade 4]  ",157,1574,"Mortal Steel",X,2 SP,One Enemy,,,,,,
Yone,2,"Spirit Cleave
[X] Cost 4 SP
All Enemies : [Blade 2]
Self : [Shield Y]
Y = Targets hit 
This Skill has -1 ACC. ",157,1575,"Spirit Cleave",X,4 SP,All Enemies,,,,,,
Yone,3,"Soul Unbound
[SUP] Cost 3 SP 
Self : [+2 ATK,MAG,SPD]",157,1576,"Soul Unbound",SUP,3 SP,Self,,,,,,
Yone,4,"Fate Sealed
[X] Cost 5 SP
All Enemies : [Blade 4] [Mark 2]
This Skill has -1 ACC.",157,1577,"Fate Sealed",X,5 SP,All Enemies,,,,,,
Rammus,1,"Spiked Shell
[MAG] Cost 3 SP
One Enemy : [Pierce X]
X = Rammus' DEF
This Skill inflicts [Weaken 2] if Rammus has Crit.  ",158,1584,"Spiked Shell",MAG,3 SP,One Enemy,Pierce,X,,,,
Rammus,2,"Powerball
[SUP] Cost 3 SP
Self : [+3 SPD] [Crit 2]",158,1585,"Powerball",SUP,3 SP,Self,,,,,,
Rammus,3,"Defensive Ball Curl
[SUP] Cost 3 SP
Self : [+2 DEF,RES] [-2 SPD] [Thorns 3] ",158,1586,"Defensive Ball Curl",SUP,3 SP,Self,,,,,,
Rammus,4,"Frenzying Taunt
[SUP] Cost 3 SP
Self : [+1 MAG] [Taunt 4]",158,1587,"Frenzying Taunt",SUP,3 SP,Self,,,,,,
Rammus,5,"Soaring Slam
[MAG] Cost 5 SP
All Enemies : [Impact 3] [-2 SPD]
This Skill has -1 ACC. 
This Skill inflicts [Weaken 2] if Rammus has Crit.",158,1588,"Soaring Slam",MAG,5 SP,All Enemies,Impact,3,,,,
Brandon,1,"Dagger Storm
[ATK] Cost 5 SP
All Enemies : [Blade 4]
This Skill has -1 ACC.",159,1594,"Dagger Storm",ATK,5 SP,All Enemies,Blade,4,,,,
Brandon,2,"Curtain Call
[SUP] Cost 5 SP
All Enemies : [-3 ATK]",159,1595,"Curtain Call",SUP,5 SP,All Enemies,,,,,,
Brandon,3,"Take the Stage
[SUP] Cost 2 SP
Self : [+2 EVA,ACC] ",159,1596,"Take the Stage",SUP,2 SP,Self,,,,,,
Brandon,4,"The Show's Over
[SUP] Cost 7 SP
All Allies : [Crit 4]",159,1597,"The Show's Over",SUP,7 SP,All Allies,,,,,,
Ferederick,1,"Plastic Safety Scissors
[ATK] Cost 2 SP
One Enemy : [Impact 2] {10% +8 damage}  ",160,1604,"Plastic Safety Scissors",ATK,2 SP,One Enemy,Impact,2,,,,
Ferederick,2,"Watch Out!
[SUP] Cost 4 SP
One Ally : [+3 EVA]  ",160,1605,"Watch Out!",SUP,4 SP,One Ally,,,,,,
Ferederick,3,"Not Again...
[SUP] Cost 8 SP
All X : [Y 3]
Flip a Coin.
Heads: X = Enemies
Tails: X = Allies
Roll a D6.
1: Y = Terror  4: Y = Curse
2: Y = Poison  5: Y = Death
3: Y = Heavy   6: Y = Freeze",160,1606,"Not Again...",SUP,8 SP,All X,,,,,,
